incident_id,datetime,reported_date,crime_type,crime_category,neighborhood,police_division,police_station,station_code,locality,latitude,longitude,premise_category,weapon_category,victim_age,victim_sex,case_status,is_synthetic,source_dataset,generation_version
00c0351b-6043-5176-adf6-41a001c681b5,2020-01-01T00:01:00+05:30,2021-03-15,Cybercrime,fraud_cyber_crime,Chamarajapet,West,Chamarajapet,PSB-153,Chamarajapet,12.9597,77.5684,built_other,,46.0,female,under_investigation,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
01616297-62dd-5449-b8bb-483798613bdb,2020-01-01T00:01:00+05:30,2020-03-25,Sexual Offence,sexual_offence,R.T. Nagar,North,R.T. Nagar,PSB-117,R.T. Nagar,13.0272,77.5952,residential,,13.0,female,arrest_made,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
01fae555-48b1-5f92-8c8c-0cc959339f3d,2020-01-01T00:01:00+05:30,2020-11-10,Theft,property_crime,K.G. Halli,East,K.G. Halli,PSB-92,K.G. Halli,13.0215,77.6293,residential,,79.0,female,closed_other,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
01c92b62-7190-5bc9-a489-e89402aea79f,2020-01-01T00:20:00+05:30,2020-01-01,Assault,violent_crime,CottenPet,West,CottenPet,PSB-155,CottenPet,12.9617,77.562,outdoor,physical_force,17.0,male,closed_other,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
00b3b0e7-8136-5b66-8c46-b720a8608e4b,2020-01-01T04:30:00+05:30,2020-01-01,Theft From Vehicle,property_crime,Yelahanka New Town,North East,Yelahanka New Town,PSB-127-02,Yelahanka New Town,13.1021,77.5862,outdoor,,45.0,male,under_investigation,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
01b2f0ff-a77b-5d3a-9055-9ea007afaf1b,2020-01-01T06:00:00+05:30,2020-01-25,Sexual Offence,sexual_offence,Banasawadi,East,Banasawadi,PSB-89,Banasawadi,13.0137,77.637,residential,,25.0,male,under_investigation,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
011c89b7-5224-579a-8995-f7e7b4505f0d,2020-01-01T07:00:00+05:30,2023-11-20,Theft,property_crime,Banasawadi,East,Banasawadi,PSB-89,Banasawadi,13.0179,77.633,residential,,44.0,female,under_investigation,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
00a1a336-01ce-5e5d-90a8-469f65d576f2,2020-01-01T10:00:00+05:30,2020-01-13,Domestic Violence,family_child_offence,K .G. Nagar,South,K .G. Nagar,PSB-141,K .G. Nagar,12.9516,77.5628,outdoor,firearm,24.0,female,closed_other,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
0272eb34-ffe3-5224-b26d-c66f3fc12cb0,2020-01-01T11:00:00+05:30,2020-01-20,Burglary,property_crime,Kodigehalli,North East,Kodigehalli,PSB-126,Kodigehalli,13.063,77.5896,built_other,,24.0,female,under_investigation,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
011dcbf6-219b-5991-98f7-ce7c56178a01,2020-01-01T12:00:00+05:30,2021-01-16,Child Related Offence,family_child_offence,Sadashivanagar,Central,Sadashivanagar,PSB-86,Sadashivanagar,13.0136,77.5773,residential,physical_force,10.0,female,closed_other,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
0217f0f2-c0a9-5d45-91b9-4a44a29675d2,2020-01-01T12:55:00+05:30,2020-01-01,Shoplifting,property_crime,Sanjaynagar,North,Sanjaynagar,PSB-118,Sanjaynagar,13.029,77.5715,commercial,,29.0,male,arrest_made,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
022c013b-f937-5c34-b0a0-138ec257130b,2020-01-01T13:00:00+05:30,2020-01-01,Domestic Violence,family_child_offence,Bagalgunte,North,Bagalgunte,PSB-112,Bagalgunte,13.0592,77.5203,outdoor,physical_force,41.0,female,closed_other,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
021e24e6-0fce-5097-9cc2-d11f0fc3af7f,2020-01-01T15:00:00+05:30,2020-03-12,Assault,violent_crime,Byappanahalli,East,Byappanahalli,PSB-94,Byappanahalli,12.9796,77.6819,residential,physical_force,47.0,female,under_investigation,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
0037ac8d-e7ce-57e2-a044-48a188484e05,2020-01-01T15:10:00+05:30,2023-11-13,Fraud,fraud_cyber_crime,Kamakshipalya,West,Kamakshipalya,PSB-166,Kamakshipalya,12.9854,77.5143,residential,,50.0,female,under_investigation,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
00555584-6cce-5418-97a2-c0620d1b7acc,2020-01-01T15:35:00+05:30,2023-01-17,Fraud,fraud_cyber_crime,Varthur,Whitefield,Varthur,PSB-740,Varthur,12.9445,77.7457,residential,,27.0,male,under_investigation,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
017828bc-1281-5037-8e33-ea99be1881aa,2020-01-01T18:00:00+05:30,2020-01-01,Assault,violent_crime,J.P. Nagar,South,J.P. Nagar,PSB-132,J.P. Nagar,12.9161,77.5858,public_institutional,physical_force,36.0,male,under_investigation,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
0182ba1a-c383-5a95-b204-d2d0f653dd47,2020-01-01T19:00:00+05:30,2020-03-25,Theft,property_crime,Jalahalli,North,Jalahalli,PSB-115,Jalahalli,13.0464,77.5457,residential,,34.0,female,under_investigation,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
01b0cfb8-e1fc-50a0-867a-0452e858675d,2020-01-02T12:55:00+05:30,2020-01-02,Assault,violent_crime,H.A.L.,Whitefield,H.A.L.,PSB-738,H.A.L.,12.9691,77.69,residential,physical_force,22.0,male,closed_other,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
018b5b1f-ec84-5aff-95e6-63a22091af30,2020-01-03T07:45:00+05:30,2020-01-31,Burglary,property_crime,J.C. Nagar,North,J.C. Nagar,PSB-116,J.C. Nagar,12.9979,77.5995,residential,,37.0,female,under_investigation,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
021f937d-f569-5ca6-9028-0a9e2ac48994,2020-01-03T08:30:00+05:30,2020-01-03,Domestic Violence,family_child_offence,Sanjaynagar,North,Sanjaynagar,PSB-118,Sanjaynagar,13.0403,77.5663,residential,physical_force,20.0,female,closed_other,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
010a33ac-7b08-5f1a-9a4b-4327b668153f,2020-01-03T10:35:00+05:30,2020-01-03,Shoplifting,property_crime,Mahadevapura,Whitefield,Mahadevapura,PSB-743,Mahadevapura,12.9891,77.7184,commercial,,,other_or_unknown,under_investigation,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
00e4d24f-68e6-577f-9f77-22f54d827f19,2020-01-03T15:00:00+05:30,2020-01-05,Weapons Offence,weapons_offence,Madivala,South East,Madivala,PSB-151-01,Madivala,12.9264,77.6156,residential,other_weapon,55.0,female,under_investigation,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
02107d74-a609-5c24-a5fc-e01dac33a1f9,2020-01-03T18:00:00+05:30,2020-01-04,Theft From Vehicle,property_crime,Chandra Layout,West,Chandra Layout,PSB-160,Chandra Layout,12.9589,77.5168,outdoor,,,unknown,under_investigation,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
00c04c71-9f55-5bd1-828f-ec8f0219b236,2020-01-03T19:00:00+05:30,2020-01-04,Vehicle Theft,property_crime,J .B. Nagar,East,J .B. Nagar,PSB-97,J .B. Nagar,12.9606,77.6452,outdoor,,,unknown,arrest_made,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
01771b2e-003d-57e4-b555-1a96c93df52f,2020-01-03T19:30:00+05:30,2020-01-04,Property Damage,property_crime,Indiranagar,East,Indiranagar,PSB-96,Indiranagar,12.9745,77.6461,vehicle,other_weapon,31.0,male,under_investigation,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
026597fc-dfc1-53b8-b480-10a6af0eed4d,2020-01-04T07:55:00+05:30,2020-01-04,Assault,violent_crime,Banasawadi,East,Banasawadi,PSB-89,Banasawadi,13.0115,77.6209,commercial,physical_force,55.0,male,under_investigation,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
00d6711f-f54e-558d-a3e8-be2d0cae668b,2020-01-04T09:28:00+05:30,2020-01-04,Fraud,fraud_cyber_crime,Hennur,East,Hennur,PSB-91,Hennur,13.0303,77.6606,residential,,55.0,female,under_investigation,True,US municipal crime incidents 2020-2024 (CC0; see manifest),blr-synthetic-v1.0.0
